signal_DN,var_single_DN2
6.907000000000000000e+03,4.906167588650676407e+03
1.311375000000000000e+04,8.126975438475446936e+03
1.873125000000000000e+04,1.040786617021429083e+04
2.382250000000000000e+04,1.157622434737391450e+04
2.838450000000000000e+04,1.193683084645167582e+04
3.195100000000000000e+04,1.259772891992611039e+04
3.457600000000000000e+04,1.215859332270610867e+04
3.629275000000000000e+04,1.276567696660345791e+04
3.722050000000000000e+04,1.166756740047350650e+04
3.767150000000000000e+04,1.234766791178036692e+04
3.791950000000000000e+04,1.179206367203748050e+04
3.804450000000000000e+04,1.194997920914163842e+04
